,aapl,adbe,alxn,amd,amgn,amzn,asml,atvi,avgo,bidu,bkng,cern,chtr,cmcsa,cost,csco,ea,ebay,fast,fb,fox,gild,goog,googl,intc,isrg,jd,lrcx,lulu,mar,mrna,mrvl,msft,mu,nflx,nvda,okta,pdd,pep,pton,pypl,qcom,regn,sbux,splk,swks,team,tmus,tsla,vrtx,wba,wday,zm
RMSE_text,0.31278993428271024,0.3692985767102992,0.1654092048508525,0.1986541277484596,0.593065431403609,0.30409376257902754,0.4657536007976108,0.3190731154128767,0.4123834107980002,0.3248905490536444,0.2111848630940781,0.3042981441542868,0.0966404111843714,0.3713093081029718,0.3054970695831087,0.1838307356203344,0.30302559002398005,0.4840636320546415,0.2644203533491833,0.013274669345677292,0.215114627771622,0.5303490391928861,0.5126088617871206,0.5028551727699896,0.34235298429632544,0.14397252607072905,0.3855618751989371,0.382323259623062,0.3534637491192347,0.278115244402339,0.26312357205070674,0.4769757699154609,0.4764829916633005,0.43484714940027575,0.3823027347504595,0.006397760660147939,0.1436215174514629,0.09729997823640148,0.27831466326002824,0.21390498152880227,0.3021864346184828,0.3831210112371168,0.4447095006401791,0.0214136536590176,0.05672765859078253,0.3353001994555599,0.04191995269848329,0.1241130995400622,0.4824914693007801,0.27028869493433005,0.3285448078593757,0.032669470123056515,0.02780005516484899
RMSE_tech,0.3331961199172627,0.0903748545784416,0.43896941331149375,0.025576242627825527,0.4875685951982855,0.28887643777149724,0.4611546648794082,0.33366281679292514,0.4121534087731831,0.38694077500595947,0.0491019870215314,0.3080925957089031,0.02555502863578184,0.065581015685067,0.11717195846453472,0.2035148445701773,0.32162350484649793,0.4791362622443554,0.04762963276528264,0.124233552689322,0.2304874320046281,0.4467736743401777,0.4343128369026241,0.3873547952493074,0.32377666575037845,0.144915273188487,0.3932013041248298,0.4432031606745833,0.1406634357997561,0.027694171173745025,0.20065972770786947,0.4251025649519129,0.3480217595796431,0.3425043493090925,0.345761527544778,0.1391843113522975,0.15104244095318906,0.3292785224035114,0.04860988444117105,0.20894861405883305,0.2797743963433091,0.3475780103498062,0.3671562721502428,0.013324831170173579,0.07380776123883641,0.2788712747795881,0.005382163535347942,0.02969500034288108,0.4168894528281528,0.19454545467438736,0.41570250765626415,0.0398716967325212,0.10149702066437877
RMSE_both,0.3311308407362213,0.3596815483367247,0.10651991397120934,0.2159883335121401,0.5920268703754615,0.2789411001352914,0.35286262829307063,0.2395205046976465,0.5104397425479467,0.31371669596470536,0.2678491951319584,0.374829090919914,0.03446687623096641,0.3884488334478923,0.3594179916448622,0.14469153035566765,0.26990805540166657,0.4701490303842703,0.2852067948569769,0.09998177742322607,0.15823932462050647,0.5707697102604268,0.4836026216368354,0.5130330133226223,0.2676521315881144,0.2779971432885649,0.3817451002856943,0.4049028685516517,0.3330704794800681,0.3719448913454465,0.12009289287209035,0.4791430529849806,0.39673903383628495,0.344928724951006,0.3611079571955236,0.0009653753593148568,0.07014047285247478,0.10984217066144812,0.3857767316588217,0.24059843421061616,0.2425577975544119,0.36040676960756174,0.4634706576835756,0.1557159925694989,0.05488259693002349,0.2858168554967052,0.13424366605786192,0.20550389526668691,0.4798072064091696,0.2913311868793396,0.3524050864430839,0.09716420627095952,0.0913501676677645
R2_text,-1.9801950517915128,-10.663797913132278,-19.59542341793938,-1.0879725590180842,-27.506643837554112,-1.8605188412186229,-19.095492142842666,-9.04585647108031,-18.357618956564988,-28.627738235825426,-1.1280926585248259,-9.010120822624394,-0.3671297105215712,-2.3894034556219017,-9.449763213521859,-2.2255527195546323,-13.125616806669436,-24.144250380319686,-2.1270895632017512,-0.17358535154933108,-1.2346374469840429,-52.993225726325704,-6.603641718565547,-6.127531378494528,-11.45887686610425,-0.6825583968938114,-8.747315051510935,-2.7413094492578085,-5.549874421933564,-2.2326405800174998,-1.238689473536411,-41.36357602485906,-4.414367792035048,-8.69914283526693,-2.8314973924795086,-0.1875210834124832,-5.884568811951072,-3.21270887790888,-5.282770727297253,-7.714548220153179,-5.197135673633876,-6.991878669845362,-6.585850420409738,-0.10735466358140487,-3.6207474738773016,-10.101664751218149,-1.5870806137367728,-0.5179695127986521,-48.17682903393357,-1.312977281168021,-8.734290451906892,-0.4346513820818858,-5.543202689228577
R2_tech,-1.8572216461899096,0.03813663703260295,-86.63190791183935,0.5604030460385594,-17.545024823408447,-1.085343450539073,-18.04908848305169,-7.841332509570472,-17.242976761154015,-35.349266740568105,0.5124249712521789,-7.847399103425835,0.4176400182633455,0.4094965656587073,-0.6367496098172647,-1.6549513882818068,-13.365802397864867,-21.621769950040175,0.5585945135598679,0.07303776655459115,-0.986321779795204,-36.268904170358134,-4.414885711128788,-3.224147914523642,-8.73711229794034,-0.300887694250362,-8.27767932632719,-2.944030525512133,-0.215800048367858,0.4970504251122522,-0.23582242365388906,-31.646731242888546,-2.138769052524034,-4.493097328872165,-1.9665174949506072,0.18985693369726453,-4.797881922730318,-13.876183038491659,0.2386878457465617,-4.624892358457063,-3.31652992947492,-4.813068549623309,-3.913810310126048,0.5263905917273335,-1.925649352206798,-6.489880892320569,0.3950808061369653,0.4358437772218949,-31.25523335836016,-0.3161421677134513,-11.695013582684664,0.2741827630708866,-0.7012502464410906
R2_both,-2.172588930408575,-9.956189173223523,-26.440958340006226,-1.2185583551857624,-27.02979216583207,-1.5075131804152109,-10.862715913495695,-5.3983542958986295,-28.692465235802807,-25.185530657612308,-1.8957885182873933,-13.00428729681032,-0.08147162160294652,-2.6077579833442126,-12.006473581942215,-1.6997615778377742,-11.627598742209704,-23.937044940604164,-2.596919500545872,-0.20169230623277912,-0.815721345418686,-61.33906281481782,-5.809230769043803,-6.354801149057214,-8.211111334717089,-2.141158273937604,-8.415575710366133,-3.0355981478165583,-4.835824861238701,-3.874270382661532,-0.3296951272172095,-41.487993116001746,-3.005647331092004,-6.4082169185830455,-2.571978231880311,-0.08776624606644545,-2.6208469603889584,-5.66030905708022,-9.925716491472613,-9.5721802972553,-3.4027294750419785,-6.1193281132809965,-7.182251445099701,-0.3839937310897008,-4.463214166579603,-7.141980964115996,-2.848889834985016,-1.309425610161436,-46.695740949363135,-1.7211199564471469,-9.702597541938133,-0.8969926070307199,-8.396300608034501
acc_text,48.38709677419354,27.27272727272727,46.153846153846146,51.92307692307693,59.09090909090909,46.66666666666666,50.0,38.095238095238095,53.33333333333334,48.57142857142857,61.53846153846154,60.86956521739131,56.25,34.48275862068966,65.38461538461539,55.55555555555557,64.0,47.368421052631575,50.0,56.36363636363636,58.064516129032256,47.22222222222222,50.90909090909091,45.09803921568629,48.0,37.5,54.838709677419345,29.411764705882355,71.42857142857143,50.0,56.60377358490565,70.58823529411767,59.649122807017534,51.85185185185186,46.2962962962963,41.46341463414634,47.058823529411754,55.55555555555557,57.69230769230769,42.42424242424242,40.476190476190474,48.27586206896552,31.42857142857143,40.0,50.0,52.941176470588246,44.444444444444436,23.529411764705877,50.0,28.57142857142857,31.818181818181817,52.941176470588246,52.38095238095239
acc_tech,53.225806451612904,59.67741935483871,35.483870967741936,54.838709677419345,53.225806451612904,54.838709677419345,48.38709677419354,45.16129032258064,54.838709677419345,50.0,61.29032258064516,51.61290322580646,45.16129032258064,48.38709677419354,56.45161290322582,43.548387096774185,38.709677419354854,50.0,50.0,48.38709677419354,61.29032258064516,50.0,45.16129032258064,53.225806451612904,51.61290322580646,50.0,41.935483870967744,46.774193548387096,51.61290322580646,54.838709677419345,45.16129032258064,53.225806451612904,41.935483870967744,56.45161290322582,48.38709677419354,53.225806451612904,43.548387096774185,46.774193548387096,48.38709677419354,48.38709677419354,50.0,37.096774193548384,40.32258064516129,51.61290322580646,45.16129032258064,53.225806451612904,48.38709677419354,46.774193548387096,50.0,48.38709677419354,45.16129032258064,61.29032258064516,50.0
acc_both,50.0,51.61290322580646,36.065573770491795,43.548387096774185,61.29032258064516,54.838709677419345,47.540983606557376,45.16129032258064,48.38709677419354,53.225806451612904,54.838709677419345,48.38709677419354,54.838709677419345,33.87096774193548,51.61290322580646,41.935483870967744,47.540983606557376,48.38709677419354,48.38709677419354,48.38709677419354,53.225806451612904,46.774193548387096,50.0,53.225806451612904,43.548387096774185,46.774193548387096,49.18032786885247,37.096774193548384,53.225806451612904,56.45161290322582,46.774193548387096,56.45161290322582,48.38709677419354,53.225806451612904,51.61290322580646,59.67741935483871,46.774193548387096,59.67741935483871,60.65573770491803,48.38709677419354,48.38709677419354,41.935483870967744,38.709677419354854,46.774193548387096,45.16129032258064,51.61290322580646,50.0,43.548387096774185,54.838709677419345,48.38709677419354,43.548387096774185,51.61290322580646,46.774193548387096
total_change_text_roi,-0.028060017097473192,-0.0001415525123529271,-0.018352826971435362,-0.018499904486395047,-0.027878438186645482,-0.3469124164306643,-0.17199808290405286,-0.027723637505722157,-0.04780373162078855,-0.07713582103424088,-0.016498053417968728,-0.04888714762382496,-0.0650985024780274,0.0002151694124479242,-0.18010626150972475,-0.004486589647293093,-0.02870456309585578,-0.0113179513319015,0.0,0.002556301135050898,0.0,-0.0203274949302672,-0.19156667970581054,-0.19127211425170887,-0.023016298811149527,0.0,-0.02028219110984797,0.0,-0.0342127542138827,0.0,-0.029707494224929687,-0.016153415883445654,0.0,-0.008373541561126685,-0.0033193346862793183,-0.00040418595372182514,-0.10493737049560548,-0.12195989492797865,-0.028713921971130433,-0.01567676326141365,-0.17290219078292854,-0.06586083353195192,-0.0041444234893799345,0.0,-0.0011965286949157106,0.0005626200386046332,-0.00017748347646018292,-0.00015999466623195513,-0.19164479130249026,0.0,-0.010004847424888608,-0.022003726099903757,-0.23227177176055916
